,Compound,Date,Negative,Neutral,Positive,Tweets ago,tweet_text,twitter source account
26,0.3612,2018-04-09 17:30:49,0.0,0.878,0.122,26,@CBSNews Reporter: Would you like to see executives from Google and Twitter and other tech companies come testify?… https://t.co/cBQv3EWrPr,@CBSNews
27,0.0258,2018-04-09 17:30:33,0.0,0.922,0.078,27,"On defensive amid Cambridge Analytica controversy, Facebook announces an independent ""election research commission""… https://t.co/pzJfe0uVwa",@CBSNews
28,-0.2732,2018-04-09 17:23:58,0.129,0.871,0.0,28,"@CBSNews ""My sense is that he takes it seriously because he knows that there is going to be a hard look at regulati… https://t.co/Z6AyGIziEk",@CBSNews
29,0.0,2018-04-09 17:19:34,0.0,1.0,0.0,29,MOMENTS AGO: Sen. Bill Nelson (D-FL) discusses meeting with Facebook CEO Mark Zuckerberg ahead of his congressional… https://t.co/R7JfdgovvL,@CBSNews
30,-0.25,2018-04-09 17:15:32,0.13,0.802,0.068,30,"Topless protestor charges Bill Cosby with ""Women's Lives Matter"" painted on her chest https://t.co/V6Mg4WIXcC https://t.co/Bi15PvmamV",@CBSNews
31,-0.4939,2018-04-09 17:01:01,0.259,0.741,0.0,31,Former manager says he warned Facebook about potential privacy risks in 2012 https://t.co/8ZNoas1iFj https://t.co/M6NqfugA48,@CBSNews
32,0.0,2018-04-09 16:45:55,0.0,1.0,0.0,32,"""Tony Robbins, if you talk to more SURVIVORS and less sexist businessmen maybe you'll understand what we want,""… https://t.co/KiBOv1rlhq",@CBSNews
33,-0.6124,2018-04-09 16:15:01,0.312,0.688,0.0,33,Pres. Trump confers with military on suspected gas attack in Syria https://t.co/25vr1d7xPe https://t.co/TrdrCYuFAp,@CBSNews
34,0.0,2018-04-09 16:10:50,0.0,1.0,0.0,34,"""Nothing is off the table"" in response to Syria, @POTUS says. ""The generals will figure it out over the next 24 hou… https://t.co/BNkvf136oZ",@CBSNews
35,0.0772,2018-04-09 16:09:43,0.0,0.942,0.058,35,"""If during the course of the negotiation [with China] they want to hit farmers because they think that hits me, I w… https://t.co/lq3DYQIjaR",@CBSNews
